shipment_id,from_city,to_city,distance_km,weight_kg,volume_m3,cargo_type,carrier,cost_rub,base_cost_per_km,date,status,delivery_days,carrier_reliability,cargo_fragility,customer_id,customer_segment,insurance,insurance_cost,fuel_surcharge,priority,payment_method,has_return,return_cost
1,Екатеринбург,Омск,1279,1815,2.18,Автозапчасти,Грузовоз,69912.24,48.53,2023-03-07,Доставлен,1.0,0.9,0.4,2683,B,True,0.0,5907.85,Супер-экспресс,Постоплата,False,0.0
2,Екатеринбург,Омск,2493,2891,1.45,Медицина,ПЭК,158470.4,34.8,2023-04-30,В пути,,0.92,0.9,7806,C,True,0.0,20285.75,Экспресс,50/50,False,0.0
3,Новосибирск,Красноярск,800,2334,1.63,Продукты,Байкал Сервис,36436.69,30.16,2023-07-16,Доставлен,2.0,0.93,0.6,4095,B,False,0.0,4510.84,Супер-экспресс,Предоплата,False,0.0
4,Самара,Екатеринбург,2748,4912,3.44,Продукты,Деловые Линии,190223.18,41.28,2023-01-18,Доставлен,6.0,0.95,0.6,8872,A,True,3804.46,19187.85,Экспресс,Постоплата,False,0.0
5,Москва,Екатеринбург,1800,3645,1.46,Одежда,Мэйджор,58647.32,21.66,2023-03-29,В пути,,0.99,0.2,9493,C,True,1172.95,7108.64,Супер-экспресс,Постоплата,False,0.0
6,Казань,Москва,800,3832,1.53,Одежда,Энергия,32108.08,26.63,2023-12-18,Доставлен,1.0,0.96,0.2,4164,B,False,0.0,4488.86,Экспресс,50/50,False,0.0
7,Санкт-Петербург,Новосибирск,2719,4732,1.89,Одежда,Ратэк,120413.29,42.16,2024-01-31,Доставлен,4.0,0.91,0.2,9361,C,False,2408.27,11479.55,Супер-экспресс,Предоплата,False,96330.63
8,Москва,Омск,2999,2124,0.64,Электроника,Ратэк,107981.7,26.57,2023-08-09,Доставлен,6.0,0.91,0.8,8284,B,True,2159.63,11772.01,Супер-экспресс,Предоплата,False,0.0
9,Новосибирск,Омск,2423,4458,4.01,Мебель,ПЭК,144702.06,35.99,2023-12-12,Доставлен,3.0,0.92,0.5,3920,B,True,0.0,13085.93,Экспресс,50/50,False,0.0
10,Челябинск,Нижний Новгород,1468,1813,4.53,Стройматериалы,Деловые Линии,68242.67,46.49,2023-05-26,Доставлен,2.0,0.95,0.1,3842,B,False,0.0,7626.59,Супер-экспресс,50/50,False,0.0
11,Санкт-Петербург,Нижний Новгород,2390,1987,0.79,Одежда,Грузовоз,100205.56,46.77,2023-11-17,Доставлен,3.0,0.9,0.2,2523,A,False,0.0,6524.94,Экспресс,50/50,False,0.0
12,Москва,Омск,1004,373,0.11,Электроника,Ратэк,45248.58,30.61,2023-09-20,Доставлен,3.0,0.91,0.8,8112,C,True,904.97,6327.16,Супер-экспресс,Постоплата,False,0.0
13,Санкт-Петербург,Екатеринбург,2200,2626,3.15,Автозапчасти,Ратэк,95951.94,38.59,2023-09-03,Доставлен,5.0,0.91,0.4,8045,A,False,0.0,14344.6,Стандарт,Предоплата,False,0.0
14,Новосибирск,Москва,1962,3319,1.0,Электроника,Энергия,150576.36,34.77,2023-03-08,Доставлен,2.0,0.96,0.8,9980,B,True,0.0,17605.53,Супер-экспресс,Предоплата,False,0.0
15,Новосибирск,Санкт-Петербург,1329,2179,1.53,Продукты,Байкал Сервис,54994.85,30.82,2023-09-02,Доставлен,3.0,0.93,0.6,8615,C,False,0.0,3753.36,Экспресс,Постоплата,False,0.0
16,Омск,Санкт-Петербург,2594,242,0.12,Медицина,Деловые Линии,126230.94,36.36,2023-09-12,Доставлен,5.0,0.95,0.9,7113,B,True,0.0,17320.64,Супер-экспресс,Предоплата,False,0.0
17,Санкт-Петербург,Казань,2085,1667,0.67,Игрушки,ЖДД,63669.75,34.88,2023-03-04,Доставлен,5.0,0.98,0.4,9660,A,True,0.0,9039.04,Стандарт,Предоплата,False,0.0
18,Челябинск,Самара,2859,4320,1.73,Одежда,ЖДД,120863.23,37.5,2023-04-07,Доставлен,7.0,0.98,0.2,9104,A,False,0.0,10352.04,Стандарт,Предоплата,False,0.0
